Protein;P1;P2;P3;P4;P5;P6;P7;P8;P9
Healthy;0,024;1,044;0,989;0,95;1,054;1,065;1,009;1,072;0,832
Healthy;0,048;1,012;1,04;0,986;1,051;1,043;1,008;1,063;0,99
Healthy;0,027;1,055;1,046;1,021;1,062;1,05;1,018;1,075;1,053
Healthy;0,035;1,051;1,054;1,031;1,061;1,048;1,017;1,075;1,046
Hemo;0,66;0,648;0,791;0,632;0,691;0,649;0,551;0,702;0,578
Hemo;0,653;0,629;0,822;0,664;0,73;0,686;0,589;0,77;0,578
Hemo;0,447;0,497;0,589;0,773;0,662;0,686;0,613;0,524;0,718
Hemo;0,765;0,802;0,851;0,841;0,91;0,668;0,778;0,89;0,718
trypsin;0,045;0,851;0,99;0,995;1;1,041;1,007;1,014;0,824
trypsin;0,298;0,896;0,961;0,966;0,946;0,956;0,864;0,895;0,824
trypsin;0,362;0,938;1,015;1,021;0,97;1,01;0,869;0,98;0,861
trypsin;0,229;0,678;0,656;0,952;0,975;0,948;0,856;0,989;0,885
Pepsin;0,056;0,595;1,045;1,052;0,974;1,005;0,885;1,053;0,964
Pepsin;0,838;0,049;0,437;1,048;1,049;0,962;0,961;0,87;1,05
Pepsin;0,047;0,539;1,044;1,049;0,936;0,964;0,878;1,042;0,69
Pepsin;0,614;0,997;1,033;1,042;1,057;1,042;1,002;1,015;0,69
BSA;0,522;0,597;0,703;0,592;0,68;0,601;0,689;0,557;0,489
BSA;0,526;0,553;0,66;0,618;0,73;0,675;0,661;0,636;0,487
BSA;0,519;0,477;0,602;0,557;0,667;0,585;0,607;0,573;0,447
BSA;0,484;0,517;0,608;0,585;0,694;0,655;0,621;0,595;0,489
Flue;0,01;0,674;0,641;0,672;0,779;0,68;0,711;0,685;0,684
Flue;0,048;0,627;0,687;0,68;0,783;0,683;0,692;0,703;0,698
Flue;0,007;0,621;0,638;0,668;0,803;0,636;0,691;0,718;0,675
Flue;0,043;0,698;0,596;0,706;0,835;0,757;0,718;0,721;0,826
PLpro;0,006;1,035;0,902;0,382;1,047;0,853;0,984;1,068;0,749
PLpro;0,048;1,007;0,837;0,191;1,043;1,007;1,055;1,003;0,474
PLpro;0,01;1,009;0,841;0,213;1,048;1,024;1,04;1,005;0,464
PLpro;0,024;1;0,941;0,422;1,036;1,031;0,991;1,065;0,768
Mpro;0,01;1,071;0,694;0,048;1,056;0,276;1,022;1,07;0,174
Mpro;0,025;1,057;0,605;0,065;1,038;0,089;1,011;1,037;0,155
Mpro;0,048;1,075;0,797;0,069;1,031;0,147;1,009;1,085;0,298
Mpro;0,028;0,987;0,535;0,079;1,014;0,473;0,988;1,046;0,144
