Protein;P1;P2;P3;P4;P5;P6;P7;P8;LD1;LD2
Healthy;0,873780927;1,158322582;1,057796644;0,783600541;0,936970671;0,668673742;0,838994379;0,659496931;-10,411433;6,642380276
Healthy;0,697238298;1,425053067;1,156305423;0,760325277;0,853884212;0,662253006;0,787410144;1,209436819;-9,481215116;8,427403466
Healthy;0,934467455;1,456433124;1,252077846;0,84566791;0,880320813;0,726460362;0,856189124;1,428716648;-10,22014983;8,519727623
Healthy;0,912399627;1,4982732;1,279441396;0,837909489;0,872767498;0,720039626;0,856189124;1,404352222;-10,15623934;8,730471737
Healthy;0,807577441;1,425053067;0,469480329;0,768083698;0,88409747;0,694356684;0,810336471;1,254685037;-10,93554827;5,064771094
Healthy;0,564831327;0,949122202;1,150832713;0,77584212;0,880320813;1,041076402;0,483636317;0,683861356;-9,458837639;7,56860499
Healthy;0,415873484;0,996192287;0,669234241;0,636190538;0,831224269;0,565941974;0,695704838;0,656016298;-9,246059112;5,948396972
Covid;0,730340041;-1,237021772;-1,385768331;0,71377475;-2,473350794;0,71361889;0,73582591;-1,651642853;-12,22166536;-7,659827475
Covid;0,862747013;0,274450975;-1,279050488;0,729291592;-1,00045448;1,034655666;0,460709991;-0,687507733;-11,15290327;-6,355712908
Covid;0,879297884;-0,295620061;-1,333777587;0,760325277;-1,997491985;0,687935948;0,770215399;-1,261812046;-11,23915986;-7,055460646
Covid;0,702755255;-0,227629938;-1,238005164;0,674982644;0,733031181;0,976869047;0,454978409;-1,133028655;-12,78823305;-6,902710966
Covid;0,515178712;-0,285160042;-1,210641614;0,411196323;0,751914467;0,34121623;0,638389022;-0,990322734;-11,3607242;-6,206636641
Covid;0,178644327;-1,284091858;-1,227059744;0,186202109;0,513985063;0,1550149;0,489367899;-1,080819172;-10,42025947;-6,356273175
Covid;0,36622087;-1,362542001;-1,380295621;0,58188159;0,661274694;0,463210205;0,66704693;-1,703852336;-12,24851496;-7,845553412
Flue;-1,167493217;-0,661720727;0,297089967;-1,349965288;-0,517042357;-1,244705443;-1,379127716;0,144363364;20,62384009;-0,857561475
Flue;-1,426790203;-0,421140289;0,318980806;-1,318931603;-0,505712385;-1,366699418;-1,275959246;0,193092215;21,09831576;0,537365356
Flue;-1,459891945;-0,677410755;0,286144547;-1,163763179;-0,683215274;-1,373120153;-1,189985521;0,113037674;21,63300922;0,33943797
Flue;-1,035086245;-0,897071155;0,390126035;-0,915493701;-0,226239751;-1,199760294;-1,172790777;0,638613137;21,84862344;-0,455591301
Flue;-1,39368846;-0,63034067;0,236890158;-1,520650555;-0,456615841;-1,398803095;-1,373396134;0,029502502;20,16370853;-0,405735465
Flue;-1,526095431;-0,546660518;0,275199127;-1,574959503;-0,418849269;-1,373120153;-1,510954093;0,092153881;21,47190495;-0,034395594
Flue;-1,43230716;-0,656490717;0,214999318;-1,62151003;-0,520819014;-1,495114128;-1,642780471;0,001657444;24,50154047;-1,643100426
Healthy_Tested;0,608966984;1,545343285;1,271232331;0,58188159;0,891650784;0,354057701;0,638389022;1,157227336;-5,246573822;8,200768809
Healthy_Tested;0,75240787;1,409363038;1,120732808;0,744808435;0,88409747;0,681515213;0,816068053;1,324297682;-10,50140724;8,381892652
Healthy_Tested;0,835162227;1,451203114;1,172723552;0,783600541;0,899204099;0,649411535;0,821799634;1,376507165;-9,598744753;8,244395896
Covid_Tested;0,818611355;-0,20147989;-1,328304877;0,085342633;-1,147744111;0,976869047;0,391931011;-1,122586758;-18,05781785;-6,295299003
Covid_Tested;0,614483941;-0,572810565;-1,186014419;0,38792106;0,453558547;0,315533288;0,529488971;-0,722314055;-9,652588141;-6,779412433
Covid_Tested;0,046237355;-1,36777201;-1,259896003;-0,007758421;0,498878434;0,071545339;0,523757389;-1,341866587;-12,53543086;-6,007827141
Flue_Tested;-1,492993688;-1,043511421;0,182163058;-1,81547056;-0,513265699;-1,668473987;-2,290449196;0,276627388;34,29780142;-4,445890051
Flue_Tested;-1,97296896;-0,426370299;0,212262963;-1,675818978;-0,158259921;-1,745522813;-0,954990674;0,391488251;15,40844748;3,51737724
Flue_Tested;-1,266798445;-0,818621012;0,379180615;-1,450824764;0,238289086;-2,085821796;-1,138401287;-0,074916465;25,30400379;-1,560906401
